,key,value
0,1993,6318
1,1994,7056
2,1995,6166
3,1996,6193
4,1997,6884
5,1998,6268
6,1999,7357
7,2000,7428
8,2001,6729
9,2002,6953
10,2003,6477
11,2004,4290
12,2005,6491
13,2006,5331
14,2007,6375
15,2008,6398
16,2009,5847
17,2010,6317
18,2011,5947
19,2012,5896
20,2013,6012
21,2014,6084
22,2015,5601
23,2016,5489
24,2017,5177
25,2018,5429
26,2019,5312
27,2020,4869
28,2021,5225
